H काल काल NP NNP NP k7t VGF ; H चुना चुन VGF VM VGF NULL ROOT ; R ; k7t 
H डाट डाट NP NN NP2 k1 VGF  ;  H डाट डाट NP NN NP5 k1u VGF  ;  U ;  NULL
H डाट डाट NP NN NP2 k1 VGF  ;  H हूबहू हूबहू RBP RB RBP adv VGF  ;  U ;  NULL
H हूबहू हूबहू RBP RB RBP adv VGF  ;  H डाट डाट NP NN NP5 k1u VGF  ;  U ;  NULL
H हूबहू हूबहू RBP RB RBP adv VGF  ;  H अजंता अजंता NP NNP NP3 r6 NP4  ;  U ;  NULL
H गुफाओं गुफा NP NN NP4 r6 NP5  ;  H हैं है VGF VM VGF NULL ROOT  ;  U ;  NULL
H अजंता अजंता NP NNP NP3 r6 NP4  ;  H हैं है VGF VM VGF NULL ROOT  ;  U ;  NULL
H मंदिर मंदिर NP NN NP r6 NP2  ;  H हैं है VGF VM VGF NULL ROOT  ;  U ;  NULL
H डाट डाट NP NN NP5 k1u VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H गुफाओं गुफा NP NN NP4 r6 NP5  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H मंदिर मंदिर NP NN NP r6 NP2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H डाट डाट NP NN NP2 k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H डाट डाट NP NN NP5 k1u VGF  ;  U ;  NULL
ROOT  ;  H गुफाओं गुफा NP NN NP4 r6 NP5  ;  U ;  NULL
ROOT  ;  H मंदिर मंदिर NP NN NP r6 NP2  ;  U ;  NULL
ROOT  ;  H डाट डाट NP NN NP2 k1 VGF  ;  U ;  NULL
H मंदिर मंदिर NP NN NP r6 NP2 ; H हिस्‍से हिस्सा NP NN NP2 k7p VGF ; R ; r6 
H हिस्‍से हिस्सा NP NN NP2 k7p VGF ; H है है VGF VM VGF NULL ROOT ; R ; k7p 
H स्‍तूप स्तूप NP NN NP3 k1 VGF ; H है है VGF VM VGF NULL ROOT ; R ; k1 
ROOT ; H है है VGF VM VGF NULL ROOT ; L ; ROOT 
H है है VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H हिस्‍से हिस्सा NP NN NP2 k7p VGF  ;  H स्‍तूप स्तूप NP NN NP3 k1 VGF  ;  U ;  NULL
H मंदिर मंदिर NP NN NP r6 NP2  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H स्‍तूप स्तूप NP NN NP3 k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H हिस्‍से हिस्सा NP NN NP2 k7p VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H मंदिर मंदिर NP NN NP r6 NP2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H स्‍तूप स्तूप NP NN NP3 k1 VGF  ;  U ;  NULL
ROOT  ;  H हिस्‍से हिस्सा NP NN NP2 k7p VGF  ;  U ;  NULL
ROOT  ;  H मंदिर मंदिर NP NN NP r6 NP2  ;  U ;  NULL
H यहाँ यहाँ NP PRP NP k7p VGF ; H किया कर VGF VM VGF NULL ROOT ; R ; k7p 
H बुद्ध बुद्ध NP NNP NP2 r6-k2 NP3 ; H संस्‍कार संस्कार NP NN NP3 pof VGF ; R ; r6-k2 
H संस्‍कार संस्कार NP NN NP3 pof VGF ; H किया कर VGF VM VGF NULL ROOT ; R ; pof 
ROOT ; H किया कर VGF VM VGF NULL ROOT ; L ; ROOT 
H किया कर VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H यहाँ यहाँ NP PRP NP k7p VGF  ;  H बुद्ध बुद्ध NP NNP NP2 r6-k2 NP3  ;  U ;  NULL
H बुद्ध बुद्ध NP NNP NP2 r6-k2 NP3  ;  H किया कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H संस्‍कार संस्कार NP NN NP3 pof VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H बुद्ध बुद्ध NP NNP NP2 r6-k2 NP3  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H यहाँ यहाँ NP PRP NP k7p VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H संस्‍कार संस्कार NP NN NP3 pof VGF  ;  U ;  NULL
ROOT  ;  H बुद्ध बुद्ध NP NNP NP2 r6-k2 NP3  ;  U ;  NULL
ROOT  ;  H यहाँ यहाँ NP PRP NP k7p VGF  ;  U ;  NULL
H मूर्ति मूर्ति NP NN NP k1 VGF ; H है है VGF VM VGF NULL ROOT ; R ; k1 
H अजंता अजंता NP NNP NP2 r6 NP3 ; H बुद्ध बुद्ध NP NNP NP3 r6 NP4 ; R ; r6 
H बुद्ध बुद्ध NP NNP NP3 r6 NP4 ; H मूर्ति मूर्ति NP NNP NP4 r6 NP5 ; R ; r6 
H मूर्ति मूर्ति NP NNP NP4 r6 NP5 ; H प्रतिकृति प्रतिकृति NP NN NP5 k1s VGF ; R ; r6 
H प्रतिकृति प्रतिकृति NP NN NP5 k1s VGF ; H है है VGF VM VGF NULL ROOT ; R ; k1s 
ROOT ; H है है VGF VM VGF NULL ROOT ; L ; ROOT 
H है है VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H मूर्ति मूर्ति NP NN NP k1 VGF  ;  H प्रतिकृति प्रतिकृति NP NN NP5 k1s VGF  ;  U ;  NULL
H मूर्ति मूर्ति NP NN NP k1 VGF  ;  H अजंता अजंता NP NNP NP2 r6 NP3  ;  U ;  NULL
H मूर्ति मूर्ति NP NNP NP4 r6 NP5  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H बुद्ध बुद्ध NP NNP NP3 r6 NP4  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H अजंता अजंता NP NNP NP2 r6 NP3  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H प्रतिकृति प्रतिकृति NP NN NP5 k1s VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H मूर्ति मूर्ति NP NNP NP4 r6 NP5  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H मूर्ति मूर्ति NP NN NP k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H अजंता अजंता NP NNP NP2 r6 NP3  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H प्रतिकृति प्रतिकृति NP NN NP5 k1s VGF  ;  U ;  NULL
ROOT  ;  H मूर्ति मूर्ति NP NNP NP4 r6 NP5  ;  U ;  NULL
ROOT  ;  H मूर्ति मूर्ति NP NN NP k1 VGF  ;  U ;  NULL
ROOT  ;  H अजंता अजंता NP NNP NP2 r6 NP3  ;  U ;  NULL
H वैसे वैसे RBP RB RBP sent-adv VGF ; H है है VGF VM VGF NULL ROOT ; R ; sent-adv 
H मूर्ति मूर्ति NP NN NP r6 NP2 ; H काल काल NP NN NP2 k1 VGF ; R ; r6 
H काल काल NP NN NP2 k1 VGF ; H है है VGF VM VGF NULL ROOT ; R ; k1 
H अजंता अजंता NP NNP NP3 vmod VGF ; H है है VGF VM VGF NULL ROOT ; R ; vmod 
ROOT ; H है है VGF VM VGF NULL ROOT ; L ; ROOT 
H है है VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H वैसे वैसे RBP RB RBP sent-adv VGF  ;  H अजंता अजंता NP NNP NP3 vmod VGF  ;  U ;  NULL
H वैसे वैसे RBP RB RBP sent-adv VGF  ;  H मूर्ति मूर्ति NP NN NP r6 NP2  ;  U ;  NULL
H काल काल NP NN NP2 k1 VGF  ;  H अजंता अजंता NP NNP NP3 vmod VGF  ;  U ;  NULL
H मूर्ति मूर्ति NP NN NP r6 NP2  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H अजंता अजंता NP NNP NP3 vmod VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H काल काल NP NN NP2 k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H वैसे वैसे RBP RB RBP sent-adv VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H मूर्ति मूर्ति NP NN NP r6 NP2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H अजंता अजंता NP NNP NP3 vmod VGF  ;  U ;  NULL
ROOT  ;  H काल काल NP NN NP2 k1 VGF  ;  U ;  NULL
ROOT  ;  H वैसे वैसे RBP RB RBP sent-adv VGF  ;  U ;  NULL
ROOT  ;  H मूर्ति मूर्ति NP NN NP r6 NP2  ;  U ;  NULL
H वैसे वैसे RBP RB RBP sent-adv VGF ; H है है VGF VM VGF NULL ROOT ; R ; sent-adv 
H परिसर परिसर NP NN NP k7p VGF ; H है है VGF VM VGF NULL ROOT ; R ; k7p 
H शांति शान्ति NP NN NP2 r6 NP3 ; H वातावरण वातावरण NP NN NP3 k1 VGF ; R ; r6 
H वातावरण वातावरण NP NN NP3 k1 VGF ; H है है VGF VM VGF NULL ROOT ; R ; k1 
ROOT ; H है है VGF VM VGF NULL ROOT ; L ; ROOT 
H है है VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H वैसे वैसे RBP RB RBP sent-adv VGF  ;  H वातावरण वातावरण NP NN NP3 k1 VGF  ;  U ;  NULL
H वैसे वैसे RBP RB RBP sent-adv VGF  ;  H परिसर परिसर NP NN NP k7p VGF  ;  U ;  NULL
H परिसर परिसर NP NN NP k7p VGF  ;  H शांति शान्ति NP NN NP2 r6 NP3  ;  U ;  NULL
H शांति शान्ति NP NN NP2 r6 NP3  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H वातावरण वातावरण NP NN NP3 k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H शांति शान्ति NP NN NP2 r6 NP3  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H वैसे वैसे RBP RB RBP sent-adv VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H परिसर परिसर NP NN NP k7p VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H वातावरण वातावरण NP NN NP3 k1 VGF  ;  U ;  NULL
ROOT  ;  H शांति शान्ति NP NN NP2 r6 NP3  ;  U ;  NULL
ROOT  ;  H वैसे वैसे RBP RB RBP sent-adv VGF  ;  U ;  NULL
ROOT  ;  H परिसर परिसर NP NN NP k7p VGF  ;  U ;  NULL
H सुबह सुबह NP NN NP ccof CCP ; H और और CCP CC CCP k7t VGF ; R ; ccof 
H और और CCP CC CCP k7t VGF ; H लगता लग VGF VM VGF NULL ROOT ; R ; k7t 
H और और CCP CC CCP k7t VGF ; H शाम शाम NP NN NP2 ccof CCP ; L ; ccof 
H अगरबत्‍तियों अगरबत्ती NP NN NP3 ccof CCP2 ; H और और CCP CC CCP2 k3 VGF ; R ; ccof 
H और और CCP CC CCP2 k3 VGF ; H लगता लग VGF VM VGF NULL ROOT ; R ; k3 
H गच्‍छामि गच्छामि NP NNP NP4 r6 NP5 ; H घोष घोष NP NN NP5 ccof CCP2 ; R ; r6 
H और और CCP CC CCP2 k3 VGF ; H घोष घोष NP NN NP5 ccof CCP2 ; L ; ccof 
H वातावरण वातावरण NP NN NP6 k1 VGF ; H लगता लग VGF VM VGF NULL ROOT ; R ; k1 
H और और NP QF NP7 jjmod JJP ; H पवित्र पवित्र JJP JJ JJP ccof CCP3 ; R ; jjmod 
H पवित्र पवित्र JJP JJ JJP ccof CCP3 ; H और और CCP CC CCP3 k1s VGF ; R ; ccof 
H और और CCP CC CCP3 k1s VGF ; H लगता लग VGF VM VGF NULL ROOT ; R ; k1s 
H और और CCP CC CCP3 k1s VGF ; H शांतिदायक शांतिदायक JJP JJ JJP2 ccof CCP3 ; L ; ccof 
ROOT ; H लगता लग VGF VM VGF NULL ROOT ; L ; ROOT 
H लगता लग VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H और और CCP CC CCP k7t VGF  ;  H शांतिदायक शांतिदायक JJP JJ JJP2 ccof CCP3  ;  U ;  NULL
H और और CCP CC CCP k7t VGF  ;  H अगरबत्‍तियों अगरबत्ती NP NN NP3 ccof CCP2  ;  U ;  NULL
H और और CCP CC CCP2 k3 VGF  ;  H शांतिदायक शांतिदायक JJP JJ JJP2 ccof CCP3  ;  U ;  NULL
H और और CCP CC CCP2 k3 VGF  ;  H गच्‍छामि गच्छामि NP NNP NP4 r6 NP5  ;  U ;  NULL
H वातावरण वातावरण NP NN NP6 k1 VGF  ;  H शांतिदायक शांतिदायक JJP JJ JJP2 ccof CCP3  ;  U ;  NULL
H वातावरण वातावरण NP NN NP6 k1 VGF  ;  H और और NP QF NP7 jjmod JJP  ;  U ;  NULL
H शांतिदायक शांतिदायक JJP JJ JJP2 ccof CCP3  ;  H लगता लग VGF VM VGF NULL ROOT  ;  U ;  NULL
H पवित्र पवित्र JJP JJ JJP ccof CCP3  ;  H लगता लग VGF VM VGF NULL ROOT  ;  U ;  NULL
H सुबह सुबह NP NN NP ccof CCP  ;  H लगता लग VGF VM VGF NULL ROOT  ;  U ;  NULL
H शाम शाम NP NN NP2 ccof CCP  ;  H लगता लग VGF VM VGF NULL ROOT  ;  U ;  NULL
H शांतिदायक शांतिदायक JJP JJ JJP2 ccof CCP3  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H और और CCP CC CCP3 k1s VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H सुबह सुबह NP NN NP ccof CCP  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H और और CCP CC CCP k7t VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H शांतिदायक शांतिदायक JJP JJ JJP2 ccof CCP3  ;  U ;  NULL
ROOT  ;  H और और CCP CC CCP3 k1s VGF  ;  U ;  NULL
ROOT  ;  H सुबह सुबह NP NN NP ccof CCP  ;  U ;  NULL
ROOT  ;  H और और CCP CC CCP k7t VGF  ;  U ;  NULL
H मंदिर मंदिर NP NNP NP nmod NP2 ; H कुछ कुछ NP QF NP2 nmod NP3 ; R ; nmod 
H कुछ कुछ NP QF NP2 nmod NP3 ; H आगे आगे NP NST NP3 k7p VGF ; R ; nmod 
H आगे आगे NP NST NP3 k7p VGF ; H है है VGF VM VGF NULL ROOT ; R ; k7p 
H कुँवर कुँवर NP NNP NP4 r6 NP5 ; H मंदिर मंदिर NP NN NP5 k1 VGF ; R ; r6 
H मंदिर मंदिर NP NN NP5 k1 VGF ; H है है VGF VM VGF NULL ROOT ; R ; k1 
ROOT ; H है है VGF VM VGF NULL ROOT ; L ; ROOT 
H है है VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H आगे आगे NP NST NP3 k7p VGF  ;  H कुँवर कुँवर NP NNP NP4 r6 NP5  ;  U ;  NULL
H कुँवर कुँवर NP NNP NP4 r6 NP5  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H कुछ कुछ NP QF NP2 nmod NP3  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H मंदिर मंदिर NP NNP NP nmod NP2  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H मंदिर मंदिर NP NN NP5 k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H कुँवर कुँवर NP NNP NP4 r6 NP5  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H मंदिर मंदिर NP NNP NP nmod NP2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H कुछ कुछ NP QF NP2 nmod NP3  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H मंदिर मंदिर NP NN NP5 k1 VGF  ;  U ;  NULL
ROOT  ;  H कुँवर कुँवर NP NNP NP4 r6 NP5  ;  U ;  NULL
ROOT  ;  H मंदिर मंदिर NP NNP NP nmod NP2  ;  U ;  NULL
ROOT  ;  H कुछ कुछ NP QF NP2 nmod NP3  ;  U ;  NULL
H इसके यह NP PRP NP r6 NP2 ; H लोगों लोग NP NN NP2 k7 VGNN ; R ; r6 
H लोगों लोग NP NN NP2 k7 VGNN ; H होने हो VGNN VM VGNN r6 NP5 ; R ; k7 
H विष्‍णु विष्णु NP NNP NP3 r6 NP4 ; H अवतार अवतार NP NN NP4 k1 VGNN ; R ; r6 
H अवतार अवतार NP NN NP4 k1 VGNN ; H होने हो VGNN VM VGNN r6 NP5 ; R ; k1 
H होने हो VGNN VM VGNN r6 NP5 ; H मान्‍यता मान्यता NP NN NP5 k1 VGF ; R ; r6 
H मान्‍यता मान्यता NP NN NP5 k1 VGF ; H है है VGF VM VGF NULL ROOT ; R ; k1 
H प्रचलित प्रचलित JJP JJ JJP k1s VGF ; H है है VGF VM VGF NULL ROOT ; R ; k1s 
ROOT ; H है है VGF VM VGF NULL ROOT ; L ; ROOT 
H है है VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H लोगों लोग NP NN NP2 k7 VGNN  ;  H विष्‍णु विष्णु NP NNP NP3 r6 NP4  ;  U ;  NULL
H मान्‍यता मान्यता NP NN NP5 k1 VGF  ;  H प्रचलित प्रचलित JJP JJ JJP k1s VGF  ;  U ;  NULL
H होने हो VGNN VM VGNN r6 NP5  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H अवतार अवतार NP NN NP4 k1 VGNN  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H इसके यह NP PRP NP r6 NP2  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H लोगों लोग NP NN NP2 k7 VGNN  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H प्रचलित प्रचलित JJP JJ JJP k1s VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H मान्‍यता मान्यता NP NN NP5 k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H इसके यह NP PRP NP r6 NP2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H लोगों लोग NP NN NP2 k7 VGNN  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H प्रचलित प्रचलित JJP JJ JJP k1s VGF  ;  U ;  NULL
ROOT  ;  H मान्‍यता मान्यता NP NN NP5 k1 VGF  ;  U ;  NULL
ROOT  ;  H इसके यह NP PRP NP r6 NP2  ;  U ;  NULL
ROOT  ;  H लोगों लोग NP NN NP2 k7 VGNN  ;  U ;  NULL
H मूर्ति मूर्ति NP NN NP k1 VGNN ; H होने हो VGNN VM VGNN r6 NP3 ; R ; k1 
H वर्ष वर्ष NP NN NP2 k7t VGNN ; H होने हो VGNN VM VGNN r6 NP3 ; R ; k7t 
H पुराना पुराना JJP JJ JJP k1s VGNN ; H होने हो VGNN VM VGNN r6 NP3 ; R ; k1s 
H होने हो VGNN VM VGNN r6 NP3 ; H प्रमाण प्रमाण NP NN NP3 k1 VGF ; R ; r6 
H प्रमाण प्रमाण NP NN NP3 k1 VGF ; H मिलता मिल VGF VM VGF NULL ROOT ; R ; k1 
ROOT ; H मिलता मिल VGF VM VGF NULL ROOT ; L ; ROOT 
H मिलता मिल VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H मूर्ति मूर्ति NP NN NP k1 VGNN  ;  H वर्ष वर्ष NP NN NP2 k7t VGNN  ;  U ;  NULL
H वर्ष वर्ष NP NN NP2 k7t VGNN  ;  H पुराना पुराना JJP JJ JJP k1s VGNN  ;  U ;  NULL
H होने हो VGNN VM VGNN r6 NP3  ;  H मिलता मिल VGF VM VGF NULL ROOT  ;  U ;  NULL
H पुराना पुराना JJP JJ JJP k1s VGNN  ;  H मिलता मिल VGF VM VGF NULL ROOT  ;  U ;  NULL
H मूर्ति मूर्ति NP NN NP k1 VGNN  ;  H मिलता मिल VGF VM VGF NULL ROOT  ;  U ;  NULL
H वर्ष वर्ष NP NN NP2 k7t VGNN  ;  H मिलता मिल VGF VM VGF NULL ROOT  ;  U ;  NULL
H प्रमाण प्रमाण NP NN NP3 k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H होने हो VGNN VM VGNN r6 NP3  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H मूर्ति मूर्ति NP NN NP k1 VGNN  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H वर्ष वर्ष NP NN NP2 k7t VGNN  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H प्रमाण प्रमाण NP NN NP3 k1 VGF  ;  U ;  NULL
ROOT  ;  H होने हो VGNN VM VGNN r6 NP3  ;  U ;  NULL
ROOT  ;  H मूर्ति मूर्ति NP NN NP k1 VGNN  ;  U ;  NULL
ROOT  ;  H वर्ष वर्ष NP NN NP2 k7t VGNN  ;  U ;  NULL
H कुँवर कुँवर NP NNP NP r6 NP2 ; H मूर्ति मूर्ति NP NN NP2 k1 VGF ; R ; r6 
H मूर्ति मूर्ति NP NN NP2 k1 VGF ; H बनी बन VGF VM VGF NULL ROOT ; R ; k1 
H पत्‍थर पत्थर NP NN NP3 k5 VGF ; H बनी बन VGF VM VGF NULL ROOT ; R ; k5 
ROOT ; H बनी बन VGF VM VGF NULL ROOT ; L ; ROOT 
