H काल काल NP NNP NP k7t VGF में ; H चुना चुन VGF VM VGF NULL ROOT NULL ; R ; k7t 
H गुफाओं गुफा NP NN NP4 k3 VGF से  ;  H प्रेरित प्रेरित JJP JJ JJP k1s VGF NULL  ;  U ;  NULL
H अजंता अजंता NP NNP NP3 r6 NP4 की  ;  H है है VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H मंदिर मंदिर NP NN NP r6 NP2 का  ;  H है है VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H प्रेरित प्रेरित JJP JJ JJP k1s VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H गुफाओं गुफा NP NN NP4 k3 VGF से  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H मंदिर मंदिर NP NN NP r6 NP2 का  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H स्‍थापत्‍य स्थापत्य NP NN NP2 k1 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H प्रेरित प्रेरित JJP JJ JJP k1s VGF NULL  ;  U ;  NULL
ROOT  ;  H गुफाओं गुफा NP NN NP4 k3 VGF से  ;  U ;  NULL
ROOT  ;  H मंदिर मंदिर NP NN NP r6 NP2 का  ;  U ;  NULL
ROOT  ;  H स्‍थापत्‍य स्थापत्य NP NN NP2 k1 VGF NULL  ;  U ;  NULL
H मंदिर मंदिर NP NN NP r6 NP2 के ; H डाट डाट NP NN NP2 k1 VGF NULL ; R ; r6 
H डाट डाट NP NN NP2 k1 VGF NULL ; H हैं है VGF VM VGF NULL ROOT NULL ; R ; k1 
H हूबहू हूबहू RBP RB RBP adv VGF NULL ; H हैं है VGF VM VGF NULL ROOT NULL ; R ; adv 
H अजंता अजंता NP NNP NP3 r6 NP4 की ; H गुफाओं गुफा NP NN NP4 r6 NP5 के ; R ; r6 
H गुफाओं गुफा NP NN NP4 r6 NP5 के ; H डाट डाट NP NN NP5 k1u VGF की ; R ; r6 
H डाट डाट NP NN NP5 k1u VGF की ; H हैं है VGF VM VGF NULL ROOT NULL ; R ; k1u 
ROOT ; H हैं है VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H हैं है VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H डाट डाट NP NN NP2 k1 VGF NULL  ;  H डाट डाट NP NN NP5 k1u VGF की  ;  U ;  NULL
H डाट डाट NP NN NP2 k1 VGF NULL  ;  H हूबहू हूबहू RBP RB RBP adv VGF NULL  ;  U ;  NULL
H हूबहू हूबहू RBP RB RBP adv VGF NULL  ;  H डाट डाट NP NN NP5 k1u VGF की  ;  U ;  NULL
H हूबहू हूबहू RBP RB RBP adv VGF NULL  ;  H अजंता अजंता NP NNP NP3 r6 NP4 की  ;  U ;  NULL
H गुफाओं गुफा NP NN NP4 r6 NP5 के  ;  H हैं है VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H अजंता अजंता NP NNP NP3 r6 NP4 की  ;  H हैं है VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H मंदिर मंदिर NP NN NP r6 NP2 के  ;  H हैं है VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H डाट डाट NP NN NP5 k1u VGF की  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H गुफाओं गुफा NP NN NP4 r6 NP5 के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H मंदिर मंदिर NP NN NP r6 NP2 के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H डाट डाट NP NN NP2 k1 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H डाट डाट NP NN NP5 k1u VGF की  ;  U ;  NULL
ROOT  ;  H गुफाओं गुफा NP NN NP4 r6 NP5 के  ;  U ;  NULL
ROOT  ;  H मंदिर मंदिर NP NN NP r6 NP2 के  ;  U ;  NULL
ROOT  ;  H डाट डाट NP NN NP2 k1 VGF NULL  ;  U ;  NULL
H मंदिर मंदिर NP NN NP r6 NP2 के ; H हिस्‍से हिस्सा NP NN NP2 k7p VGF में ; R ; r6 
H हिस्‍से हिस्सा NP NN NP2 k7p VGF में ; H है है VGF VM VGF NULL ROOT NULL ; R ; k7p 
H स्‍तूप स्तूप NP NN NP3 k1 VGF NULL ; H है है VGF VM VGF NULL ROOT NULL ; R ; k1 
ROOT ; H है है VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H है है VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H हिस्‍से हिस्सा NP NN NP2 k7p VGF में  ;  H स्‍तूप स्तूप NP NN NP3 k1 VGF NULL  ;  U ;  NULL
H मंदिर मंदिर NP NN NP r6 NP2 के  ;  H है है VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H स्‍तूप स्तूप NP NN NP3 k1 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H हिस्‍से हिस्सा NP NN NP2 k7p VGF में  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H मंदिर मंदिर NP NN NP r6 NP2 के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H स्‍तूप स्तूप NP NN NP3 k1 VGF NULL  ;  U ;  NULL
ROOT  ;  H हिस्‍से हिस्सा NP NN NP2 k7p VGF में  ;  U ;  NULL
ROOT  ;  H मंदिर मंदिर NP NN NP r6 NP2 के  ;  U ;  NULL
H यहाँ यहाँ NP PRP NP k7p VGF पर ; H किया कर VGF VM VGF NULL ROOT NULL ; R ; k7p 
H बुद्ध बुद्ध NP NNP NP2 r6-k2 NP3 का ; H संस्‍कार संस्कार NP NN NP3 pof VGF NULL ; R ; r6-k2 
H संस्‍कार संस्कार NP NN NP3 pof VGF NULL ; H किया कर VGF VM VGF NULL ROOT NULL ; R ; pof 
ROOT ; H किया कर VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H किया कर VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H यहाँ यहाँ NP PRP NP k7p VGF पर  ;  H बुद्ध बुद्ध NP NNP NP2 r6-k2 NP3 का  ;  U ;  NULL
H बुद्ध बुद्ध NP NNP NP2 r6-k2 NP3 का  ;  H किया कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H संस्‍कार संस्कार NP NN NP3 pof VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H बुद्ध बुद्ध NP NNP NP2 r6-k2 NP3 का  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H यहाँ यहाँ NP PRP NP k7p VGF पर  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H संस्‍कार संस्कार NP NN NP3 pof VGF NULL  ;  U ;  NULL
ROOT  ;  H बुद्ध बुद्ध NP NNP NP2 r6-k2 NP3 का  ;  U ;  NULL
ROOT  ;  H यहाँ यहाँ NP PRP NP k7p VGF पर  ;  U ;  NULL
H मूर्ति मूर्ति NP NN NP k1 VGF NULL ; H है है VGF VM VGF NULL ROOT NULL ; R ; k1 
H अजंता अजंता NP NNP NP2 r6 NP3 के ; H बुद्ध बुद्ध NP NNP NP3 r6 NP4 की ; R ; r6 
H बुद्ध बुद्ध NP NNP NP3 r6 NP4 की ; H मूर्ति मूर्ति NP NNP NP4 r6 NP5 की ; R ; r6 
H मूर्ति मूर्ति NP NNP NP4 r6 NP5 की ; H प्रतिकृति प्रतिकृति NP NN NP5 k1s VGF NULL ; R ; r6 
H प्रतिकृति प्रतिकृति NP NN NP5 k1s VGF NULL ; H है है VGF VM VGF NULL ROOT NULL ; R ; k1s 
ROOT ; H है है VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H है है VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H मूर्ति मूर्ति NP NN NP k1 VGF NULL  ;  H प्रतिकृति प्रतिकृति NP NN NP5 k1s VGF NULL  ;  U ;  NULL
H मूर्ति मूर्ति NP NN NP k1 VGF NULL  ;  H अजंता अजंता NP NNP NP2 r6 NP3 के  ;  U ;  NULL
H मूर्ति मूर्ति NP NNP NP4 r6 NP5 की  ;  H है है VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H बुद्ध बुद्ध NP NNP NP3 r6 NP4 की  ;  H है है VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H अजंता अजंता NP NNP NP2 r6 NP3 के  ;  H है है VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H प्रतिकृति प्रतिकृति NP NN NP5 k1s VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H मूर्ति मूर्ति NP NNP NP4 r6 NP5 की  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H मूर्ति मूर्ति NP NN NP k1 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H अजंता अजंता NP NNP NP2 r6 NP3 के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H प्रतिकृति प्रतिकृति NP NN NP5 k1s VGF NULL  ;  U ;  NULL
ROOT  ;  H मूर्ति मूर्ति NP NNP NP4 r6 NP5 की  ;  U ;  NULL
ROOT  ;  H मूर्ति मूर्ति NP NN NP k1 VGF NULL  ;  U ;  NULL
ROOT  ;  H अजंता अजंता NP NNP NP2 r6 NP3 के  ;  U ;  NULL
H वैसे वैसे RBP RB RBP sent-adv VGF NULL ; H है है VGF VM VGF NULL ROOT NULL ; R ; sent-adv 
H मूर्ति मूर्ति NP NN NP r6 NP2 का ; H काल काल NP NN NP2 k1 VGF NULL ; R ; r6 
H काल काल NP NN NP2 k1 VGF NULL ; H है है VGF VM VGF NULL ROOT NULL ; R ; k1 
H अजंता अजंता NP NNP NP3 vmod VGF से ; H है है VGF VM VGF NULL ROOT NULL ; R ; vmod 
ROOT ; H है है VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H है है VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H वैसे वैसे RBP RB RBP sent-adv VGF NULL  ;  H अजंता अजंता NP NNP NP3 vmod VGF से  ;  U ;  NULL
H वैसे वैसे RBP RB RBP sent-adv VGF NULL  ;  H मूर्ति मूर्ति NP NN NP r6 NP2 का  ;  U ;  NULL
H काल काल NP NN NP2 k1 VGF NULL  ;  H अजंता अजंता NP NNP NP3 vmod VGF से  ;  U ;  NULL
H मूर्ति मूर्ति NP NN NP r6 NP2 का  ;  H है है VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H अजंता अजंता NP NNP NP3 vmod VGF से  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H काल काल NP NN NP2 k1 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H वैसे वैसे RBP RB RBP sent-adv VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H मूर्ति मूर्ति NP NN NP r6 NP2 का  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H अजंता अजंता NP NNP NP3 vmod VGF से  ;  U ;  NULL
ROOT  ;  H काल काल NP NN NP2 k1 VGF NULL  ;  U ;  NULL
ROOT  ;  H वैसे वैसे RBP RB RBP sent-adv VGF NULL  ;  U ;  NULL
ROOT  ;  H मूर्ति मूर्ति NP NN NP r6 NP2 का  ;  U ;  NULL
H वैसे वैसे RBP RB RBP sent-adv VGF NULL ; H है है VGF VM VGF NULL ROOT NULL ; R ; sent-adv 
H परिसर परिसर NP NN NP k7p VGF में ; H है है VGF VM VGF NULL ROOT NULL ; R ; k7p 
H शांति शान्ति NP NN NP2 r6 NP3 का ; H वातावरण वातावरण NP NN NP3 k1 VGF NULL ; R ; r6 
H वातावरण वातावरण NP NN NP3 k1 VGF NULL ; H है है VGF VM VGF NULL ROOT NULL ; R ; k1 
ROOT ; H है है VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H है है VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H वैसे वैसे RBP RB RBP sent-adv VGF NULL  ;  H वातावरण वातावरण NP NN NP3 k1 VGF NULL  ;  U ;  NULL
H वैसे वैसे RBP RB RBP sent-adv VGF NULL  ;  H परिसर परिसर NP NN NP k7p VGF में  ;  U ;  NULL
H परिसर परिसर NP NN NP k7p VGF में  ;  H शांति शान्ति NP NN NP2 r6 NP3 का  ;  U ;  NULL
H शांति शान्ति NP NN NP2 r6 NP3 का  ;  H है है VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H वातावरण वातावरण NP NN NP3 k1 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H शांति शान्ति NP NN NP2 r6 NP3 का  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H वैसे वैसे RBP RB RBP sent-adv VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H परिसर परिसर NP NN NP k7p VGF में  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H वातावरण वातावरण NP NN NP3 k1 VGF NULL  ;  U ;  NULL
ROOT  ;  H शांति शान्ति NP NN NP2 r6 NP3 का  ;  U ;  NULL
ROOT  ;  H वैसे वैसे RBP RB RBP sent-adv VGF NULL  ;  U ;  NULL
ROOT  ;  H परिसर परिसर NP NN NP k7p VGF में  ;  U ;  NULL
H सुबह सुबह NP NN NP ccof CCP NULL ; H और और CCP CC CCP k7t VGF NULL ; R ; ccof 
H और और CCP CC CCP k7t VGF NULL ; H लगता लग VGF VM VGF NULL ROOT NULL ; R ; k7t 
H और और CCP CC CCP k7t VGF NULL ; H शाम शाम NP NN NP2 ccof CCP NULL ; L ; ccof 
H अगरबत्‍तियों अगरबत्ती NP NN NP3 ccof CCP2 NULL ; H और और CCP CC CCP2 k3 VGF NULL ; R ; ccof 
H और और CCP CC CCP2 k3 VGF NULL ; H लगता लग VGF VM VGF NULL ROOT NULL ; R ; k3 
H गच्‍छामि गच्छामि NP NNP NP4 r6 NP5 के ; H घोष घोष NP NN NP5 ccof CCP2 से ; R ; r6 
H और और CCP CC CCP2 k3 VGF NULL ; H घोष घोष NP NN NP5 ccof CCP2 से ; L ; ccof 
H वातावरण वातावरण NP NN NP6 k1 VGF NULL ; H लगता लग VGF VM VGF NULL ROOT NULL ; R ; k1 
H और और NP QF NP7 jjmod JJP NULL ; H पवित्र पवित्र JJP JJ JJP ccof CCP3 NULL ; R ; jjmod 
H पवित्र पवित्र JJP JJ JJP ccof CCP3 NULL ; H और और CCP CC CCP3 k1s VGF NULL ; R ; ccof 
H और और CCP CC CCP3 k1s VGF NULL ; H लगता लग VGF VM VGF NULL ROOT NULL ; R ; k1s 
H और और CCP CC CCP3 k1s VGF NULL ; H शांतिदायक शांतिदायक JJP JJ JJP2 ccof CCP3 NULL ; L ; ccof 
ROOT ; H लगता लग VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H लगता लग VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H और और CCP CC CCP k7t VGF NULL  ;  H शांतिदायक शांतिदायक JJP JJ JJP2 ccof CCP3 NULL  ;  U ;  NULL
H और और CCP CC CCP k7t VGF NULL  ;  H अगरबत्‍तियों अगरबत्ती NP NN NP3 ccof CCP2 NULL  ;  U ;  NULL
H और और CCP CC CCP2 k3 VGF NULL  ;  H शांतिदायक शांतिदायक JJP JJ JJP2 ccof CCP3 NULL  ;  U ;  NULL
H और और CCP CC CCP2 k3 VGF NULL  ;  H गच्‍छामि गच्छामि NP NNP NP4 r6 NP5 के  ;  U ;  NULL
H वातावरण वातावरण NP NN NP6 k1 VGF NULL  ;  H शांतिदायक शांतिदायक JJP JJ JJP2 ccof CCP3 NULL  ;  U ;  NULL
H वातावरण वातावरण NP NN NP6 k1 VGF NULL  ;  H और और NP QF NP7 jjmod JJP NULL  ;  U ;  NULL
H शांतिदायक शांतिदायक JJP JJ JJP2 ccof CCP3 NULL  ;  H लगता लग VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H पवित्र पवित्र JJP JJ JJP ccof CCP3 NULL  ;  H लगता लग VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H सुबह सुबह NP NN NP ccof CCP NULL  ;  H लगता लग VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H शाम शाम NP NN NP2 ccof CCP NULL  ;  H लगता लग VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H शांतिदायक शांतिदायक JJP JJ JJP2 ccof CCP3 NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H और और CCP CC CCP3 k1s VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H सुबह सुबह NP NN NP ccof CCP NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H और और CCP CC CCP k7t VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H शांतिदायक शांतिदायक JJP JJ JJP2 ccof CCP3 NULL  ;  U ;  NULL
ROOT  ;  H और और CCP CC CCP3 k1s VGF NULL  ;  U ;  NULL
ROOT  ;  H सुबह सुबह NP NN NP ccof CCP NULL  ;  U ;  NULL
ROOT  ;  H और और CCP CC CCP k7t VGF NULL  ;  U ;  NULL
H मंदिर मंदिर NP NNP NP nmod NP2 से ; H कुछ कुछ NP QF NP2 nmod NP3 NULL ; R ; nmod 
H कुछ कुछ NP QF NP2 nmod NP3 NULL ; H आगे आगे NP NST NP3 k7p VGF NULL ; R ; nmod 
H आगे आगे NP NST NP3 k7p VGF NULL ; H है है VGF VM VGF NULL ROOT NULL ; R ; k7p 
H कुँवर कुँवर NP NNP NP4 r6 NP5 का ; H मंदिर मंदिर NP NN NP5 k1 VGF NULL ; R ; r6 
H मंदिर मंदिर NP NN NP5 k1 VGF NULL ; H है है VGF VM VGF NULL ROOT NULL ; R ; k1 
ROOT ; H है है VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H है है VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H आगे आगे NP NST NP3 k7p VGF NULL  ;  H कुँवर कुँवर NP NNP NP4 r6 NP5 का  ;  U ;  NULL
H कुँवर कुँवर NP NNP NP4 r6 NP5 का  ;  H है है VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H कुछ कुछ NP QF NP2 nmod NP3 NULL  ;  H है है VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H मंदिर मंदिर NP NNP NP nmod NP2 से  ;  H है है VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H मंदिर मंदिर NP NN NP5 k1 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H कुँवर कुँवर NP NNP NP4 r6 NP5 का  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H मंदिर मंदिर NP NNP NP nmod NP2 से  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H कुछ कुछ NP QF NP2 nmod NP3 NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H मंदिर मंदिर NP NN NP5 k1 VGF NULL  ;  U ;  NULL
ROOT  ;  H कुँवर कुँवर NP NNP NP4 r6 NP5 का  ;  U ;  NULL
ROOT  ;  H मंदिर मंदिर NP NNP NP nmod NP2 से  ;  U ;  NULL
ROOT  ;  H कुछ कुछ NP QF NP2 nmod NP3 NULL  ;  U ;  NULL
H इसके यह NP PRP NP r6 NP2 NULL ; H लोगों लोग NP NN NP2 k7 VGNN में ; R ; r6 
H लोगों लोग NP NN NP2 k7 VGNN में ; H होने हो VGNN VM VGNN r6 NP5 की ; R ; k7 
H विष्‍णु विष्णु NP NNP NP3 r6 NP4 के ; H अवतार अवतार NP NN NP4 k1 VGNN NULL ; R ; r6 
H अवतार अवतार NP NN NP4 k1 VGNN NULL ; H होने हो VGNN VM VGNN r6 NP5 की ; R ; k1 
H होने हो VGNN VM VGNN r6 NP5 की ; H मान्‍यता मान्यता NP NN NP5 k1 VGF NULL ; R ; r6 
H मान्‍यता मान्यता NP NN NP5 k1 VGF NULL ; H है है VGF VM VGF NULL ROOT NULL ; R ; k1 
H प्रचलित प्रचलित JJP JJ JJP k1s VGF NULL ; H है है VGF VM VGF NULL ROOT NULL ; R ; k1s 
